name,link,tagline,likes,usedBy
Typper - Texts,https://www.figma.com/community/plugin/1203827738055553363/typper-texts,Transform your creativity into conversations with ChatGPT on Figma.,544,37700
Responsively,https://www.figma.com/community/plugin/1079288264185622297/responsively,Create responsive layouts within Figma,483,37700
A Selector,https://www.figma.com/community/plugin/968465923536935510/a-selector,"A powerful tool for finding and selecting elements, you can flexibly cross select various elements by various attributes of the element.",685,37500
Image Cutter,https://www.figma.com/community/plugin/899731058839960598/image-cutter,An easy way to cut any image into pieces.,272,37100
Supa Gradient,https://www.figma.com/community/plugin/1097681662687985794/supa-gradient,"Get supa-powers to create, edit and manage beautiful gradients like never before!",735,36800
Image2Vector,https://www.figma.com/community/plugin/1251454160529409862/image2vector,Best-in-class raster-to-vector conversion,173,36100
Export/Import Variables,https://www.figma.com/community/plugin/1256972111705530093/export-import-variables,"Export variables from one file and import them to another. Supports modes, references, and scopes.",745,35800
Blossom,https://www.figma.com/community/plugin/995608071385132676/blossom,Bring user research to where the work happens,183,35400
Trace Images,https://www.figma.com/community/plugin/1291512177354533481/trace-images,One-click conversion from Bitmap to SVG Vectors,146,35400
Writer for Figma,https://www.figma.com/community/plugin/1010580776466011580/writer-for-figma,"Writer | Clear, consistent, on-brand copy | Checks grammar + spelling",628,34900
AI Design by Rendition,https://www.figma.com/community/plugin/1031998871372194709/ai-design-by-rendition,Rendition is an AI tool for creating designs and building responsive UI components with tailwind,442,34800
Vector Background Generator,https://www.figma.com/community/plugin/1113450281250896805/vector-background-generator,Create 'Steps' Gradient with some randomness,114,34800
Axure,https://www.figma.com/community/plugin/837098402230990991/axure,"Import and transform your designs into rich, interactive prototypes with the power of Axure RP",592,34700
Fignel - Convert Figma to Elementor,https://www.figma.com/community/plugin/1169206626650589972/fignel-convert-figma-to-elementor,Convert your figma designs to live Elementor Website,463,34500
Illustrator Importer,https://www.figma.com/community/plugin/1341851295955502127/illustrator-importer,Import adobe illustrator (.ai) files directly into Figma & FigJam,467,34300
Sort Layers,https://www.figma.com/community/plugin/767379414704079825/sort-layers,Sort layers by name or position,481,34200
Sine wave,https://www.figma.com/community/plugin/1122523615671222202/sine-wave,Add sine (or cosine) waves to your designs to make them standout a bit.,199,34000
ShaderGradient,https://www.figma.com/community/plugin/1203016883447870818/shadergradient,Create beautiful gradients in 3d,927,33500
Lottielab - Figma to Lottie animation,https://www.figma.com/community/plugin/1307008445393559148/lottielab-figma-to-lottie-animation,Animate your Figma designs,663,33500
Export Video Frames,https://www.figma.com/community/plugin/1069746440997028492/export-video-frames,Exports video frames into Figma file,45,32700
Confetti Genie,https://www.figma.com/community/plugin/1044658409805883306/confetti-genie,Generate confetti inside your frames,263,31900
